,,Race,Class,Name,Sub-class,,ATK,DEF,HP,Speed,CR,CD,CritRes,CritDEF,Ddg,Acc,Pen,RecR,LsR,CCRes,PhRes,MRes,Active Skill,Passive skill 1,Passive skill 2,Passive skill 3,Awaken Skill,Engraving,Exclusive equipment,Added stats from Exclusive Equipment 
,57,Horde,Agi,Telfer,Dealer,,460 946,119 311,1 369 491,92,10%,50%,0%,0%,17%,0%,13%,0%,0%,0%,0%,0%,"Hemorrhage: Targets the closest enemy, dealing ATK 195% damage and inflicting Bleed, dealing ATK 110% DoT for 3 turns.","Sharp Claw: On normal attacks, targets the closest enemy, dealing ATK 145% damage.","Terrifying Laugh: When hit, inflicts Bleed on the attacker, dealing ATK 50% DoT for 2 turns.","Bloody Grudge: At the start of battle, Dodge Rate increases by 70%. decreasing by 10% at the beginning of each round starting from round 2. Upon dodging, ATK increases by 5%. Can trigger up to 5 times.","Deep Hatred: Upon landing a killing blow, heals by 35% of max HP and gains a buff that increases Dodge Rate by 55% for 2 turns.",ATK increases by 20% against Strength-type enemies. Heals by 30% of damage dealt to Strength-type enemies.,"Mystic Cat Claws: When dodging a Strength-type hero's attack, 60% chance to apply 2 stacks of Bleed to the attacker, dealing DoT equal to 60% of ATK for 3 turn(s). When using an Active Skill, removes all existing Bleed DoT from enemies adjacent to the target (including the target) that have at least 3 stacks of Bleed, then deals additional DoT equal to 150% of the total damage removed. This effect can Crit. If more than 3 Bleed stacks were removed, damage +50% per extra stack (Max +100%).",
,58,Horde,Str,Lagou,Tanker,,362 664,157 692,1 746 555,54,10%,50%,0%,0%,10%,0%,0%,0%,0%,100%,0%,0%,"Shield Slam: Targets all enemies in the closest row, dealing ATK 130% damage and having a 55% chance of applying Stun for 1 turn.","Bull Rush: Every fourth hit received, Lagou applies Stun to the enemy attacker for 1 turn.","Imposing Force: When hit, damage taken reduces by 12%. Resets at the start of each round.","Tribal Leader: At the start of each round starting from round 2, heals by 25% of max HP, decreasing by 5% every round.","Responsibility: Upon death, applies Stun to all enemies in the closest row for 2 turns and reduces their DEF by 40%.","Chance of applying Stun on Active Skill increases to 65%. Upon applying Stun 3 times, heals by 30% of max HP and becomes gigantified for 2 turns. While gigantified, ATK increases by 80% and DEF increases by 50%. Can trigger once per battle.","Ancestor's Shield: Lowers the hit count required to trigger Bull Rush from 4 to 2. Upon applying Stun to an enemy, their ATK and Crit Damage are reduced by 10%. Reduces stats persist after death.",
,59,Human,Int,Liandra,Tanker,,384 800,175 367,1 862 008,70,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,Mace of Judgment: Deals 120% ATK Dmg to all enemies. Ignores shield (excluding immunity and nullification shields),Divine Blessing: HP +10%. Normal Attacks permanently reduce the target's DEF by 5%.,"Paladin's Ward: Liandra's Physical Resistance is increased by 50%. This effect decreases as HP drops. (PhRes -0,3% per 1% HP, maximum 20%)","Prayer of Protection: At the start of the round, if your HP is 50% or below, recover 50% of Max HP. (Once per battle)","Unshakable Faith: When an enemy hero is healed 3 times by Active Skills, Liandra gains 1 stack of Pladin's Ward. Liandra gains +20% ATK and +20% Accuracy, and +10% Damage Reduction per stack of Paladin's Ward she has (up to 5 stacks). If Liandra has 3 or more stacks of Paladin's Ward when using her Active Skill, she removes 1 buff from all enemies and reduces their Healing Rate by 70% for 2 turns (Once per round).","When an enemy hero is healed 3 times by Active Skills, grant a Paladin's Ward buff to the ally hero with the lowest HP among those without a Paladin's Ward, lasting 2 turns. This effect does not trigger if Liandra has 5 Paladin's Ward buffs. Allies (except Liandra) with Paladin's Ward buffs gain +15% Crit Resist and +10% Crit Defense. In addition, ally Intelligence Heroes (except Liandra) with Paladin's Ward buffs gain 30 Energy at the start of each round.",,
,60,Human,Str,Morra,Supporter,,401 056,149 419,1 521 124,71,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,Steel Anvil: Allies a buff to all allies that reduces damage taken by 20% for 2 turns.,"Hammer Throw: For the first 3 rounds, on normal attacks, has a 100% chance to stun for 1 turn.","Plate Forging: Physical Resistance of Strength-type allies increases by 10%, and at the start of each round, their DEF increases by 5%, up to a maximum of 50%.","Emergency Evacuation: Upon taking a lethal blow, survives with 1 HP and gains a shield equal to 700% DEF for 2 turns. Can trigger once per battle.","Axe Sharpening: At the start of each round, ATK of the Strength-type ally with the highest ATK increases by 5%, up to a maximum of 50%.","Upon the death of a Strength-type ally, the ATK and DEF of remaining Strength-type allies increases by 15%. Can only trigger while Morra is alive.",,
,61,Human,Int,Scarlet,Healer,,442 555,142 096,1 350 675,67,10%,50%,0%,0%,70%,0%,0%,0%,0%,66%,0%,0%,"Slippery Bubble: Targets 3 allies with the lowest HP%, healing them by ATK 75% and granting them a HoT buff, healing by ATK 95% for 2 turns, and increases their Dodge rate by 35% for 2 turns. Dodge Rate buff cannot be dispelled.","Weakening Potion Bomb: On normal attacks, targets the enemy with the highest Energy (if tied, targets the closest of those enemies), dealing ATK 100% damage and reducing their ATK by 16% and their Accuracy by 20% for 2 turns. Cannot be dispelled.","Auto Recovery: Starting from round 2, every second round, heals the ally with the lowest HP by ATK 90%. When an ally dodges an attack, their Crit Rate increases by 20%, up to a maximum of 40%.","Symbol of Victory: At the start of the battle, allies in the same row, including self, have their CC Resistance increased by 25% and their Speed increased by 18.","Magitech Product: Upon death, all remaining allies are healed by 25% of their max HP and have a buff that increases Dodge Rate by 60% applied for 3 turns. Can trigger even during continuous attacks.","At the start of battle, the Energy of the enemy symmetrically opposite to Scarlet is reduced by 100 and is further reduced by 25 at the start of each of the following rounds. If symmetrically opposite position is empty, targets closest enemy.",,
,62,Human,Agi,Kyle,Dealer,,451 242,121 581,1 410 443,83,10%,50%,0%,35%,10%,0%,0%,0%,0%,0%,0%,0%,"Back Line Attack: Targets the closest enemy and all enemies in the row behind them, dealing ATK 140% damage and having a 70% chance to apply Stun for 1 turn.","Straight Rappier: On normal attacks, targets the closest enemy, dealing ATK 140% damage and reducing their DEF by 10%.","Counterattack Preparation: Upon being hit, ATK increases by 5% of the ATK of the attacker. Can trigger up to 10 times per battle.","Nullify: When HP falls below 70%, a HoT buff is applied, healing by ATK 120% for 2 turns, and all CC and debuffs are removed. Can trigger once per battle.",Mortal Wound Dodge: Damage taken decreases by 0.45% for every 1% of HP lost.,"Upon receiving 4 direct hits, turns into Wind Wish state for 2 turns. In this state, Dodge Rate increases by 100% and ATK increases by 50%. Can trigger once per battle.","Rose Knight: The activation condition for Wind Wish changes to [when allies in the same row, including self, take direct attack damage 4 times], and when Kyle acquires Wind Wish, he gains 100 Energy. While affected by Wind Wish, Kyle ignores effects that prevent damage dealt to enemies from exceeding a certain percentage of max HP when attacking. Additionally, when he directly defeats an enemy, the duration of Wind Wish increases by 2 turns and he gains 100 Energy.",
,63,Human,Int,Adora,Supporter,,415 321,146 836,1 344 716,90,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,15%,0%,"Cursed Puppet: Targets the enemy symmetrically opposite to her, dealing ATK 170% damage and applying Puppet for 1 turn. If symmetrically opposite position is empty, targets closest enemy.","Shadows of Silence: On normal attacks, Adora targets the enemy opposite to her, dealing ATK 135% damage and having a 50% chance to apply Silence for 1 turn. If symmetrically opposite position is empty, targets closest enemy.","Darkness Eating: At the end of each round, removes 2 DoT debuffs from 3 random allies.","Precious Friend: On normal attacks, gains a shield equal to 80% of the damage dealt for 2 turns or until depleted.","Vitality Recovery: Upon removing a DoT debuff, the target ally is healed by 30% of their max HP, and their DEF increases by 25% for 2 turns.",Energy gain rate of enemies turned into Puppet and adjacent enemies is reduced by 50%. Puppet duration increases to 2 turns.,"Soulbound Doll: When using Active Skill, 50% chance to turn the target and one adjacent enemy into a Puppet for 2 turns. Enemies afflicted by Adora's Puppet debuff take 20% more damage. Additionally, when an enemy under the Puppet effect dies, Adora gains 50 Energy. (Energy gain triggers up to 2 times per battle)",
,64,Human,Str,Rakan,Tanker,,407 305,150 414,1 574 396,84,10%,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,"Overwhelming Attack: Targets the closest enemy, dealing ATK 210% and applying a shield to self equal to 90% of the damage dealt for 2 turns.","Strongest Warrior: While over 50% HP, DEF increases by 30%. While under 50% HP, ATK increases by 30%.","Wounded Spirit: Upon Rakan's death, Enemies with 40 or more Energy have Silence applied for 1 turn. Can trigger once per battle.","Berserker Rage: At the end of every second round, cleanses 2 debuffs from self and allies in the same row. Upon removing a debuff, heals self by 20% of max HP.","Vigor: Upon death, Energy of all enemies reduces by 60, and a debuff that increases damage taken by 28% is applied to them for 2 turns. Can trigger twice per battle.","Upon the death of an ally, has a 70% chance to take revenge on the enemy that defeat them, dealing ATK 100% damage and applying Silence for 2 turns.",,
,65,Human,Str,Olga,Supporter,,368 634,156 060,1 528 748,88,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Freezing Strike: Targets the closest enemy and all adjacent enemies, dealing ATK 165% damage and applying a buff to self and adjacent allies that increases CC Resistance by 100% for 2 turns. Starts battle with 100 Energy.","Leadership Awakening: For the first 3 rounds, Olga and adjacent allies have their DEF increased by 27% of Olga's DEF.","Frigid Cold: When hit, the attacker gets a Cold debuff applied for 1 turn. Upon being hit, heroes under Cold debuff have a 55% chance to fall under Freeze for 1 turn.","Heroism: At the start of every fourth round, heals 35% of max HP.","Counterattack: When HP is below 50%, upon being hit, counterattacks and gains a shield equal to 70% of the damage dealt for 3 turns.","When below 50% HP, DEF increases by 30%. When receiving a hit that would make her HP drop below 30%, receives a buff that reduces damage taken by 30% for 2 turns. Can trigger once per battle.","Winterbringer: When Olga is placed in the first row, the following effect is activated. When Olga uses an active skill, she has a 50% chance to inflict a Cold debuff on hit enemies for 1 turn. When Olga dies, she inflicts Freeze on the hero who killed her for 1 turn. When Olga takes a fatal hit, she survives with 1 HP and restores 49% of her Max HP. (Once per battle) Additionally, her damage taken is reduced by 3% for each enemy affected by Cold debuff. (Damage reduction can stack up to 5 times)",
,66,Human,Int,Idina,Supporter,,411 106,138 720,1 470 371,58,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,10%,"Ice Wall: Targets all enemies in the furthest row, dealing ATK 100% damage and having a 65% chance of applying Freeze for 1 turn.","Ice Crystal: On normal attacks, targets all enemies in the furthest row, dealing ATK 83% damage.","Ice Queen: When attacked by a magical attack, gains an additional 25 Energy.","Frozen: When HP falls below 70% or 30%, applies Freeze to the enemy attacker for 1 turn. Can trigger once per battle for each threshold, even during continuous attacks.","Icy Grasp: At the start of every third round, applies Freeze to 1 random enemy in the furthest row for 1 turn and reduces 30 Energy from them.","When attacking enemies under Freeze, decreases their ATK by 9% while increasing own ATK by 9% of their max ATK.",,
,67,Human,Agi,Ken,Dealer,,444 311,118 339,1 369 491,66,10%,50%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,"Chain Shuriken: Attacks the closest enemy and adjacent enemies in a chain attack, dealing ATK 145% damage. Can chain up to 4 times.","Assassination Blade: On all attacks, inflicts Bleed on the target, dealing ATK 40% DoT for 2 turns.",Silent Assassin: ATK increases by 15% for each enemy inflicted by Bleed.,"Gathering Shadow: At the start of every second round, Dodge Rate increases by 10%, stacking up to 5 times.","Repeated Strikes: On normal attacks, targets 1 additional enemy inflicted by Bleed, dealing ATK 123% damage.","ATK increases by 20% against enemies inflicted by Bleed. Additionally, heals by 22% of damage dealt.",,
,68,Human,Agi,Calix,Supporter,,412 727,155 432,1 324 615,78,10%,50%,0%,25%,10%,0%,0%,0%,0%,0%,0%,0%,"Piercing Blow: Targets the closest enemy and all enemies in a straight path behind, dealing ATK 145% damage and applying a debuff that reduces DEF by 40% for 2 turns.","Inexorable Strike: On normal attacks, targets the closest enemy and all adjacent enemies behind, dealing ATK 100% damage.","Guardian Knight: When Calix is hit, the ally with the highest ATK, including him, gains 50 Energy. Can trigger once per round.","Survival Skill: At the start of every fourth round, heals by 50% of max HP.","Honorable Knight: At the start of every second round, Calix and the ally with the highest ATK gain 40 Energy. Whenever this is triggered, they gain an additional 5 Energy, up to a maximum of 50 Energy.","When hit, gains an additional 20 Energy, and applies a debuff that increases damage taken by 20% to the attacker for 1 turn. Cannot be cleansed.",,
,69,Human,Int,Odelia,Healer,,401 380,130 659,1 364 326,72,10%,50%,0%,0%,10%,0%,0%,0%,0%,100%,0%,0%,"Prayer of Recovery: Targets the ally with the lowest HP%, including self, healing them by ATK 300% and removing 2 debuffs.","Divine Power: On normal attacks, targets the closest enemy, dealing ATK 130% damage. If the target has more than 70% HP, applies Stun for 1 turn.","Sorcerous Aura: When below 50% HP, damage taken is reduced by 23%.","Divine Protection: 100% of excess healing is converted into a shield that lasts 2 turns. At the start of battle, healing amount is increased to 130%, decreasing by 5% every round until it returns to 100%.","Path of Penance: For the first 6 rounds, on Active Skill, resurrects 1 random fallen ally with 65% HP and 50 Energy. Can trigger once per battle.","Upon resurrecting an ally, Odelia gains a shield equal to 150% of her ATK for 2 turns. If the resurrected ally is then defeated, remaining allies are healed by 100% of Odelia's ATK.","Noble Oath: When healing an ally with a shield received from you, grant them a Crit Defense +15% buff for 1 turn. When using an Active Skill, heal all allies with Paladin's Ward buff except the target for 50% of ATK and remove 1 debuff.",
,70,Human,Agi,Milia,Dealer,,463 719,125 796,1 369 491,77,21%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Final Strike: Deal ATK 230% damage to the enemy with the lowest HP. When an active skill lands a critical hit, gain a buff that increases Crit Damage by 20% for 3 turn(s).","Precise Shot: On normal attacks, targets the enemy with the lowest HP%, dealing ATK 145% damage.","Mortal Wound: When landing a critical hit, heals by 40% of damage dealt.",Shrine of God: Crit Rate increases by 10% for each adjacent ally.,"Unstoppable Force: Upon defeating an enemy with Active Skill, re-triggers with a 17% ATK reduction. Can trigger multiple times per turn.","On normal attacks, has a 40% chance to re-trigger with a 20% ATK reduction. Can trigger once per turn.","Radiant Bow: Each time you attack an enemy, Penetration increases by 5%. (Up to 10 times) Upon defeating an enemy, absorbs 12% of that enemy's ATK.",Penetration +30%
,71,Human,Str,Richelle,Tanker,,352 334,164 970,1 795 511,71,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,Imperial Protection: Applies a shield to self and adjacent allies equal to 23% of Richelle's max HP for 2 turns.,"Drastic Measure: For the first 3 rounds, Richelle and adjacent allies cannot take more than 35% of their max HP from a single hit.","Heartless Command: Gain 5 Energy additionally when attacked. When using a Shield, you remove 1 debuff(s) from each adjacent ally.","Reversal: Until round 5, at the start of each round, if HP is below 40 %, heal yourself of 25% of max HP.","Strict Military Discipline: Upon taking a lethal blow, survives with 1 HP and gains a damage immunity shield for 1 turn. Upon death, applies a shield to adjacent allies equal to 25% of Richelle's max HP for 2 turns. Each effect can trigger only once per battle.","While shielded, Richelle's ATK and Crit Rate increase by 25%.",,
,73,Undead,Agi,Luke,Dealer,,40 577,13 456,126 494,68,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Corruption Bomb: Attacks 2 random enemies, dealing ATK 110% damage and inflicting Poison, dealing ATK 45% DoT for 3 turns. Poison can be cleansed.",Hell Crow: Damage taken from poisoned enemies reduces by 30%.,"Dark Sniper: Upon death, applies a debuff to all poisoned enemies that increases damage taken by 30% for 2 turn. Can trigger up to 3 times per battle.","Practice Dark Arts: Upon the death of an ally, gains 30 Energy.",n/a,n/a,,
,74,Horde,Str,Bakra,Tanker,,31 675,15 527,187 360,75,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Shield Throw: Targets the closest enemy and adjacent enemies in a chain attack, dealing ATK 120% damage and applying a debuff that reduces ATK by 10% for 2 turns. Can chain up to 2 times.","Turtle Shell: DEF of all allies, excluding self, increases by 7%.","Strengthen: For the first 3 rounds, cannot take more than 30% of max HP from a single hit.","Survivability: At the start of every third round, heals 24% of max HP.",n/a,n/a,,
,80,Horde,Agi,Asjek,Dealer,,45 753,13 663,139 433,84,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Merciless Blow: Deal ATK 200% damage to 1 enemy and inflict Bleeding, dealing ATK 90% DoT for 3 turn(s).","Exploit Weakness: When dodging, counterattack and gain a buff that increases ATK by 28% for 2 turn(s).","Wild Eyes: When HP is below 50%, Dodge Rate increases by 35%.","Wolf Howl: At the start of battle, ATK increase by 20%. This effect decreases by 4% every round.",n/a,n/a,,
